k,Method,Max_Error,RMSE
1,Adams_Start,0.00130543490999813,0.000398631690222851
1,Adams_NoStart,0.00130543490999813,0.000398631690222851
1,Adams_NewApp,0.855742534106951,0.682037144019333
1,ddends,0.000720550944311782,0.000101915915721602
2,Adams_Start,0.000423050889371446,0.000190178104045088
2,Adams_NoStart,0.000420864388079423,0.000189241823498741
2,Adams_NewApp,0.855324284106954,0.681712165379862
2,ddends,0.000720550944311782,0.000101915915721602
3,Adams_Start,0.000424010736918667,0.000190501978039502
3,Adams_NoStart,0.000424145961460454,0.000190559880655555
3,Adams_NewApp,0.855324284106953,0.681712338622476
3,ddends,0.000720550944311782,0.000101915915721602
4,Adams_Start,0.000423738319951461,0.000190416005970709
4,Adams_NoStart,0.000424148009437353,0.000190591367655951
4,Adams_NewApp,0.855324284106954,0.681712338696778
4,ddends,0.000720550944311782,0.000101915915721602
5,Adams_Start,0.00044128693345491,0.000190392231753199
5,Adams_NoStart,0.000440980871352359,0.000190684146786738
5,Adams_NewApp,0.855324284106954,0.681712338696747
5,ddends,0.000720550944311782,0.000101915915721602
6,Adams_Start,0.00071888623468408,0.000190571282095348
6,Adams_NoStart,0.000718390132557811,0.000190978068570393
6,Adams_NewApp,0.855324284106958,0.681712338696752
6,ddends,0.000720550944311782,0.000101915915721602
7,Adams_Start,0.00107302754830396,0.000191429146797037
7,Adams_NoStart,0.00107230504550948,0.000191942904392644
7,Adams_NewApp,0.855324284106948,0.681712338696745
7,ddends,0.000720550944311782,0.000101915915721602
8,Adams_Start,0.00161743220535193,0.000194589125052767
8,Adams_NoStart,0.00161201210899398,0.000195172783738379
8,Adams_NewApp,0.855324284106942,0.681712338696735
8,ddends,0.000720550944311782,0.000101915915721602
9,Adams_Start,0.00307885486840065,0.000205435326477721
9,Adams_NoStart,0.00305868554398847,0.000205931606096446
9,Adams_NewApp,0.855324284106964,0.681712338696769
9,ddends,0.000720550944311782,0.000101915915721602
10,Adams_Start,0.00588662430884024,0.000239979281468131
10,Adams_NoStart,0.00585276799967382,0.000239950313708383
10,Adams_NewApp,0.855324284106973,0.681712338696841
10,ddends,0.000720550944311782,0.000101915915721602
11,Adams_Start,0.010274691088979,0.000335741846962884
11,Adams_NoStart,0.0102215604222715,0.00033590565262037
11,Adams_NewApp,0.855324284106898,0.68171233869689
11,ddends,0.000720550944311782,0.000101915915721602
12,Adams_Start,0.0194038326099701,0.000562825547724981
12,Adams_NoStart,0.0191473557982025,0.000582836104165003
12,Adams_NewApp,0.855324284106709,0.681712338697274
12,ddends,0.000720550944311782,0.000101915915721602
