Rzad_k,Max_Error,RMSE
1,0.0598999999999776,0.0223193044019444
2,0.000423499999993027,0.000163472534646543
3,0.000149999999981887,2.49158430279449e-05
4,0.00015000000021459,2.45034381766133e-05
5,0.00019208333339904,2.62899826476043e-05
6,0.000327499999928094,3.13078222147495e-05
7,0.000611532738076903,4.41646752973155e-05
8,0.000976602182554132,7.45160466889252e-05
9,0.00179019923940693,0.000149161316315218
10,0.00333568959877084,0.000370548132956526
11,0.0120573145339939,0.00114520410429682
12,0.0435386722108788,0.0040127878498268
13,0.159382125661676,0.0147668292048819
14,0.587634746003292,0.0553443260306319
15,2.18208829530388,0.209202689800105
16,8.14941410128641,0.795033155759443
17,30.5883759217413,3.03369070021218
18,115.309321550931,11.6151865918973
